15
11
Henry Benchwarmer 88 35 30 96 48.3 35.5 102 300 04/19/2000
Steven Star 99 70 70 99 78.0 350.0 2 90210 02/15/2000
Jared X-Factor 99 99 99 99 99.99 99.99 99 99 09/09/99
Troy Star 78 88 86 83 70.3 225.6 5 420 12/11/2001
Prat Normal 75 69 76 61 68.5 141.0 26 512 03/16/2000
Sam Normal 75 69 76 75 69.1 150.7 27 682 07/12/2000
Bowen Superstar 75 1 0 75 72.3 1.0 6 6839 05/31/3500
Nikhil Star 87 65 78 99 72.0 135.1 1 1087421 08/09/2007
Simon Benchwarmer 75 30 61 52 71.9 146.1 10 2350 04/07/2000
Ayaan Normal 75 63 73 83 67.3 138.2 25 0 08/31/2000
Braden Normal 0 5 99 23 73.4 121.3 31 2055 03/11/2000
8
TyreekHill X-Factor 100 80 70 98 70.3 180.1 10 2800000 03/01/1994
JoeMixon Star 90 85 75 80 73.1 230.6 8 403000 07/24/1996
JaylenWaddle Normal 94 75 65 92 70.1 185.3 6 446000 11/25/1998
CJStroud X-Factor 81 90 60 10 74.4 215.7 5 1000000 10/03/2001
SauceGardner Star 87 85 90 87 76.8 200.3 4 1200000 08/31/2000
DeVontaSmith Normal 87 70 60 95 72.3 170.8 4 1000000 11/14/1998
LamarJackson Superstar 96 82 65 24 75.8 210.1 7 3500000 01/07/1997
KadariusToney Benchwarmer 56 75 10 18 73.4 193.5 9428 2500 01/27/1999
13
TaylorSwift Superstar 92 71 65 43 70.3 130.7 2 284000000 12/13/1989
EllaMai Normal 75 57 81 68 68.3 125.8 4 4400000 11/03/1994
BrunoMars Superstar 93 74 71 95 65.3 145.1 2 37000000 10/08/1985
ArianaGrande X-Factor 85 50 45 85 61.2 110.6 3 377000000 06/26/1993
AaronMay Normal 75 64 55 48 70.3 53154.7 5 202200 11/30/1999
TravisScott X-Factor 94 73 64 74 70.9 165.3 3 58000000 04/30/1992
KanyeWest Superstar 96 86 86 93 69.6 170.3 1 20400000 06/08/1977
DominicFike Star 85 65 75 81 71.3 165.4 3 3200000 12/30/1995
IsaiahRashad Normal 84 41 52 66 72.4 176 4 752000 05/16/1991
BrentFaiyaz Star 78 80 70 67 69.3 1645 4 5000000 09/19/1995
NewJeans Star 86 71 64 74 64.3 115.3 2 13000000 08/01/2022
KaliUchis Star 84 61 55 84 66.4 127.6 3 7200000 07/17/1994
Laufey Normal 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Superstar 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 75 61 4 5 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 74 62 4 5 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 10 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 74 61 4 99 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 74 61 4 5 66.4 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 74 61 4 5 66.3 119.12 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
2
Diddy Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 100 4900000 09/28/1999
2
Diddy Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
Diddy2 Star 74 61 4 5 66.3 119.5 6 490000 09/28/1999
2
Diddy Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1998
Diddy2 Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1999
1
steven Star 74 61 4 5 66.3 119.5 6 4900000 02/25/2002
11
JoeMixon Benchwarmer 0 61 4 5 66.3 119.5 6 4900000 09/28/1998
DeshawnWatson X-Factor 99 61 4 5 66.3 119.5 6 4900000 09/28/1998
Daddy Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1998
Diddy Star 74 61 4 5 66.3 119.5 6 4900000 09/28/1998
Diddy9 Superstar 74 61 4 5 66.3 119.5 10 4900000 09/28/1998
Diddy1 Star 74 61 4 5 66.3 129.5 6 4900000 09/28/1998
Diddy2 Star 74 61 4 5 69.3 119.5 6 4900000 09/28/1998
Diddy3 Star 74 61 4 50 66.3 119.5 6 4900000 09/28/1998
Diddy4 Star 74 61 40 5 66.3 119.5 6 4900000 09/28/1998
Diddy5 Star 74 62 4 5 66.3 119.5 6 4900000 09/28/1998
Diddy6 Star 75 61 4 5 66.3 119.5 6 4900000 09/28/1998

