5
4 Mars
Liz 100
Carlos 83
Ralphie 76
Janet 42
9 Intestines
Liz 100
Carlos 90
Ralphie 80
DorothyAnn 75
Keesha 70
Phoebe 89
Timoty 79
Wanda 74
Arnold 69
12 GotoConsideredHarmful
Josh 98
Jaime 12
Tres 83
Will 92
Harry 1
David 89
KT 72
Vallath 100
JeffDean 99
LinusTorvalds 99
BillGates 99
SteveJobs 50
0 VeryToughAssignment
30 RandomNamesPaper1001
KUwWAKvT 21
TKx 32
uRLUpmnJ 47
pBSZZgmE 33
qoDr 59
pqLns 31
NSnzeGhe 20
zGI 49
AsqonSKsq 65
nZsRFUmn 46
iZq 63
brYHSojW 81
ITcOqTPL 74
uTaF 72
tUWj 16
jCkDemsMG 37
hqDOYl 23
Rlad 15
vCsUn 76
XhNt 33
vfmUwrSZ 26
JGyo 47
wHgHARRm 89
XQfgoHTj 66
IGxzEtp 100
naVTLtZWR 14
ppBWS 57
FasiqOD 68
KSVLNAgrt 73
GTblwcyVG 81
